,year,month,export_value,GDP_constant,import_value,inflation_percentage_change,interest_rate,manufac_prod_index,population,unemployment_rate,exchange_rate,consumer_price_index
88,2008,5,522526.0,631313.0,478859.0,2.32,0.75,100.67,63171677.0,1.47,32.11,88.3
89,2008,6,522526.0,631313.0,478859.0,0.91,0.75,100.29,63200760.0,1.16,33.2,89.1
90,2008,7,523551.0,627862.0,506106.0,0.45,0.75,101.84,63217743.0,1.27,33.5,89.5
91,2008,8,523551.0,627862.0,506106.0,-2.91,0.75,103.48,63241059.0,1.16,33.86,86.9
92,2008,9,523551.0,627862.0,506106.0,0.12,0.75,98.93,63281674.0,1.14,34.29,87.0
93,2008,10,461240.0,646625.0,468071.0,-1.26,0.75,99.58,63327400.0,1.19,34.43,85.9
94,2008,11,461240.0,646625.0,468071.0,-1.16,0.75,92.28,63359400.0,1.38,35.09,84.9
95,2008,12,461240.0,646625.0,468071.0,-1.65,0.75,80.53,63389730.0,1.4,35.04,83.5
96,2009,1,421064.0,635891.0,334897.0,0.0,0.75,79.9,63248050.0,2.36,34.92,83.5
97,2009,2,421064.0,635891.0,334897.0,0.96,0.5,82.23,63278240.0,1.9,35.33,84.3
98,2009,3,421064.0,635891.0,334897.0,0.47,0.5,83.68,63270793.0,1.89,35.78,84.7
99,2009,4,409857.0,612010.0,366647.0,0.94,0.5,89.97,63308461.0,2.14,35.46,85.5
100,2009,5,409857.0,612010.0,366647.0,-0.23,0.5,90.94,63359884.0,1.71,34.57,85.3
101,2009,6,409857.0,612010.0,366647.0,0.35,0.5,91.8,61836450.0,1.4,34.14,85.6
102,2009,7,453921.0,624711.0,391541.0,0.0,0.5,94.24,63378341.0,1.21,34.05,85.6
103,2009,8,453921.0,624711.0,391541.0,0.35,0.5,93.6,63411014.0,1.15,34.02,85.9
104,2009,9,453921.0,624711.0,391541.0,0.23,0.5,101.31,63453507.0,1.19,33.83,86.1
105,2009,10,485468.0,679751.0,442849.0,0.12,0.5,100.36,63482167.0,1.07,33.41,86.2
106,2009,11,485468.0,679751.0,442849.0,0.35,0.5,101.19,63508365.0,1.01,33.28,86.5
107,2009,12,485468.0,679751.0,442849.0,-0.12,0.5,110.18,63525062.0,0.9,33.23,86.4
108,2010,1,492140.0,713223.0,462483.0,0.6,0.5,102.45,63559878.0,1.4,33.04,86.92
109,2010,2,492140.0,713223.0,462483.0,0.55,0.5,107.5,63589467.0,1.0,33.15,87.4
110,2010,3,492140.0,713223.0,462483.0,0.23,0.5,111.01,63607881.0,0.96,32.51,87.6
111,2010,4,506464.0,666973.0,466636.0,0.5,0.5,109.92,63627424.0,1.18,32.29,88.04
112,2010,5,506464.0,666973.0,466636.0,0.19,0.5,106.61,63656730.0,1.54,32.39,88.21
113,2010,6,506464.0,666973.0,466636.0,0.26,0.5,111.69,63692283.0,1.19,32.47,88.44
114,2010,7,499984.0,660748.0,471960.0,0.15,0.5,109.16,63717183.0,0.89,32.33,88.57
115,2010,8,499984.0,660748.0,471960.0,0.25,0.5,101.82,63742677.0,0.9,31.74,88.79
116,2010,9,499984.0,660748.0,471960.0,-0.08,0.5,109.92,63782217.0,0.87,30.83,88.72
117,2010,10,526344.0,703188.0,491068.0,0.02,0.5,106.28,63815599.0,0.92,29.97,88.74
118,2010,11,526344.0,703188.0,491068.0,0.21,0.5,106.41,63844713.0,1.01,29.89,88.93
119,2010,12,526344.0,703188.0,491068.0,0.16,0.5,107.62,63878267.0,0.68,30.12,89.07
120,2011,1,568196.0,736581.0,526022.0,0.55,0.5,95.55,63899927.0,0.98,30.58,89.56
121,2011,2,568196.0,736581.0,526022.0,0.4,0.62,93.18,63920893.0,0.7,30.72,89.92
122,2011,3,568196.0,736581.0,526022.0,0.49,0.75,97.33,63945893.0,0.72,30.37,90.36
123,2011,4,566774.0,679165.0,527990.0,1.37,0.75,94.23,63973156.0,0.75,30.05,91.6
124,2011,5,566774.0,679165.0,527990.0,0.34,0.75,92.68,63816440.0,0.53,30.25,91.91
125,2011,6,566774.0,679165.0,527990.0,0.13,0.75,97.72,63849218.0,0.42,30.52,92.03
126,2011,7,589610.0,676644.0,560886.0,0.18,0.87,96.48,63889115.0,0.52,30.07,92.2
